date,new_cases,total_cases,new_deaths,total_deaths,new_tests,total_tests,cases_per_million,deaths_per_million,tests_per_million
2019-12-31,0.0,0.0,0,0,,,0.0,0.0,
2020-01-01,0.0,0.0,0,0,,,0.0,0.0,
2020-01-02,0.0,0.0,0,0,,,0.0,0.0,
2020-01-03,0.0,0.0,0,0,,,0.0,0.0,
2020-01-04,0.0,0.0,0,0,,,0.0,0.0,
2020-01-05,0.0,0.0,0,0,,,0.0,0.0,
2020-01-06,0.0,0.0,0,0,,,0.0,0.0,
2020-01-07,0.0,0.0,0,0,,,0.0,0.0,
2020-01-08,0.0,0.0,0,0,,,0.0,0.0,
2020-01-09,0.0,0.0,0,0,,,0.0,0.0,
2020-01-10,0.0,0.0,0,0,,,0.0,0.0,
2020-01-11,0.0,0.0,0,0,,,0.0,0.0,
2020-01-12,0.0,0.0,0,0,,,0.0,0.0,
2020-01-13,0.0,0.0,0,0,,,0.0,0.0,
2020-01-14,0.0,0.0,0,0,,,0.0,0.0,
2020-01-15,0.0,0.0,0,0,,,0.0,0.0,
2020-01-16,0.0,0.0,0,0,,,0.0,0.0,
2020-01-17,0.0,0.0,0,0,,,0.0,0.0,
2020-01-18,0.0,0.0,0,0,,,0.0,0.0,
2020-01-19,0.0,0.0,0,0,,,0.0,0.0,
2020-01-20,0.0,0.0,0,0,,,0.0,0.0,
2020-01-21,0.0,0.0,0,0,,,0.0,0.0,
2020-01-22,0.0,0.0,0,0,,,0.0,0.0,
2020-01-23,0.0,0.0,0,0,,,0.0,0.0,
2020-01-24,0.0,0.0,0,0,,,0.0,0.0,
2020-01-25,0.0,0.0,0,0,,,0.0,0.0,
2020-01-26,0.0,0.0,0,0,,,0.0,0.0,
2020-01-27,0.0,0.0,0,0,,,0.0,0.0,
2020-01-28,0.0,0.0,0,0,,,0.0,0.0,
2020-01-29,0.0,0.0,0,0,,,0.0,0.0,
2020-01-30,0.0,0.0,0,0,,,0.0,0.0,
2020-01-31,3.0,3.0,0,0,,,0.04961808299940915,0.0,
2020-02-01,0.0,3.0,0,0,,,0.04961808299940915,0.0,
2020-02-02,0.0,3.0,0,0,,,0.04961808299940915,0.0,
2020-02-03,0.0,3.0,0,0,,,0.04961808299940915,0.0,
2020-02-04,0.0,3.0,0,0,,,0.04961808299940915,0.0,
2020-02-05,0.0,3.0,0,0,,,0.04961808299940915,0.0,
2020-02-06,0.0,3.0,0,0,,,0.04961808299940915,0.0,
2020-02-07,0.0,3.0,0,0,,,0.04961808299940915,0.0,
2020-02-08,0.0,3.0,0,0,,,0.04961808299940915,0.0,
2020-02-09,0.0,3.0,0,0,,,0.04961808299940915,0.0,
2020-02-10,0.0,3.0,0,0,,,0.04961808299940915,0.0,
2020-02-11,0.0,3.0,0,0,,,0.04961808299940915,0.0,
2020-02-12,0.0,3.0,0,0,,,0.04961808299940915,0.0,
2020-02-13,0.0,3.0,0,0,,,0.04961808299940915,0.0,
2020-02-14,0.0,3.0,0,0,,,0.04961808299940915,0.0,
2020-02-15,0.0,3.0,0,0,,,0.04961808299940915,0.0,
2020-02-16,0.0,3.0,0,0,,,0.04961808299940915,0.0,
2020-02-17,0.0,3.0,0,0,,,0.04961808299940915,0.0,
2020-02-18,0.0,3.0,0,0,,,0.04961808299940915,0.0,
2020-02-19,0.0,3.0,0,0,,,0.04961808299940915,0.0,
2020-02-20,0.0,3.0,0,0,,,0.04961808299940915,0.0,
2020-02-21,0.0,3.0,0,0,,,0.04961808299940915,0.0,
2020-02-22,14.0,17.0,0,0,,,0.28116913699665186,0.0,
2020-02-23,62.0,79.0,2,2,,,1.3066095189844409,0.0330787219996061,
2020-02-24,53.0,132.0,0,2,,,2.1831956519740023,0.0330787219996061,
2020-02-25,97.0,229.0,4,6,,,3.7875136689548983,0.0992361659988183,
2020-02-26,93.0,322.0,5,11,,,5.325674241936582,0.18193297099783354,
2020-02-27,78.0,400.0,1,12,,,6.61574439992122,0.1984723319976366,
2020-02-28,250.0,650.0,5,17,,,10.750584649871982,0.28116913699665186,
2020-02-29,238.0,888.0,4,21,,,14.686952567825108,0.34732658099586405,
2020-03-01,240.0,1128.0,8,29,,,18.656399207777838,0.47964146899428844,
2020-03-02,561.0,1689.0,6,35,,,27.93498072866735,0.5788776349931067,
2020-03-03,347.0,2036.0,17,52,,,33.67413899559901,0.8600467719897585,
2020-03-04,466.0,2502.0,28,80,,,41.38148122150723,1.323148879984244,
2020-03-05,587.0,3089.0,27,107,,,51.09008612839162,1.7697116269789264,
2020-03-06,769.0,3858.0,41,148,,,63.80885473724016,2.447825427970851,
2020-03-07,778.0,4636.0,49,197,,,76.67647759508694,3.2582541169612007,
2020-03-08,1247.0,5883.0,36,233,,,97.30106076184134,3.8536711129541104,
2020-03-09,1492.0,7375.0,133,366,,,121.97778737354749,6.053406125927916,
2020-03-10,1797.0,9172.0,98,464,,,151.69901909019356,7.674263503908615,
2020-03-11,977.0,10149.0,167,631,,,167.85797478700115,10.436336790875725,
2020-03-12,2313.0,12462.0,196,827,,,206.1135167795456,13.678051546837121,
2020-03-13,2651.0,15113.0,189,1016,,,249.95936279002348,16.8039907757999,
2020-03-14,2547.0,17660.0,252,1268,,,292.0851152565219,20.971909747750267,
2020-03-15,3497.0,21157.0,173,1441,,,349.9232606728331,23.833219200716194,
2020-03-16,2823.0,23980.0,370,1811,,,396.6138767752771,29.95278277064332,
2020-03-17,4000.0,27980.0,347,2158,,,462.7713207744893,35.69194103757498,
2020-03-18,3526.0,31506.0,347,2505,,,521.0891076597949,41.43109930450664,
2020-03-19,4207.0,35713.0,473,2978,,,590.6701993859663,49.254217057413484,
2020-03-20,5322.0,41035.0,429,3407,,,678.6926786269181,56.34960292632899,
